token	exchange	symbol	series	security_desc
17419	NSE_EQ	BANKETF	EQ	MIRAEAMC - BANKETF
29135	NSE_EQ	INDUSTOWER	EQ	INDUS TOWERS LIMITED
5143	NSE_EQ	JAICORPLTD	EQ	JAI CORP LIMITED
759244	NSE_EQ	JAINREC	EQ	JAIN RESOURCE RECYCLING L
20778	NSE_EQ	JAMNAAUTO	EQ	JAMNA AUTO IND LTD
759951	NSE_EQ	JARO	EQ	JARO INS OF TEC MG N RE L
7844	NSE_EQ	AUTOIETF	EQ	ICICIPRAMC - ICICIAUTO
8110	NSE_EQ	AWL	EQ	AWL AGRI BUSINESS LIMITED
17945	NSE_EQ	COHANCE	EQ	COHANCE LIFESCIENCES LTD
759466	NSE_EQ	ELIQUID	EQ	EDELAMC - ELIQUID
6579	NSE_EQ	FINOPB	EQ	FINO PAYMENTS BANK LTD
1726	NSE_EQ	JBCHEPHARM	EQ	J B CHEMICALS AND PHARMA
10579	NSE_EQ	MARKSANS	EQ	MARKSANS PHARMA LIMITED
13982	NSE_EQ	JASH	EQ	JASH ENGINEERING LIMITED
14255	NSE_EQ	REDINGTON	EQ	REDINGTON LIMITED
4041	NSE_EQ	JAYAGROGN	EQ	JAYANT AGRO ORGANICS LTD
9685	NSE_EQ	TRIDENT	EQ	TRIDENT LIMITED
13702	NSE_EQ	VISHWARAJ	EQ	VISHWARAJ SUGAR IND LTD
27969	NSE_EQ	VMM	EQ	VISHAL MEGA MART LIMITED
759956	NSE_EQ	ARSSBL	EQ	ANAND RATHI SH N STK BR L
14501	NSE_EQ	BALAMINES	EQ	BALAJI AMINES LIMITED
11966	NSE_EQ	BIKAJI	EQ	BIKAJI FOODS INTERN LTD
24742	NSE_EQ	CEIGALL	EQ	CEIGALL INDIA LIMITED
928	NSE_EQ	ELECTCAST	EQ	ELECTROSTEEL CASTINGS LTD
17333	NSE_EQ	MHRIL	EQ	MAHINDRA HOLIDAYS LTD
7211	NSE_EQ	JETFREIGHT	EQ	JET FREIGHT LOGISTICS LTD
11457	NSE_EQ	NV20	EQ	KOTAKMAMC - KTKNV20ETF
11027	NSE_EQ	INFOBEAN	EQ	INFOBEANS TECHNO. LTD.
20072	NSE_EQ	INFRABEES	EQ	NIP IND ETF INFRA BEES
10723	NSE_EQ	INFRAIETF	EQ	ICICIPRAMC - ICICIINFRA
1594	NSE_EQ	INFY	EQ	INFOSYS LIMITED
2909	NSE_EQ	RICOAUTO	EQ	RICO AUTO INDUSTRIES LTD
759057	NSE_EQ	SAATVIKGL	EQ	SAATVIK GREEN ENERGY LTD
9539	NSE_EQ	SAKAR	EQ	SAKAR HEALTHCARE LIMITED
25262	NSE_EQ	TOLINS	EQ	TOLINS TYRES LIMITED
1597	NSE_EQ	INGERRAND	EQ	INGERSOLL-RAND INDIA LTD
15384	NSE_EQ	DHANI	EQ	DHANI SERVICES LIMITED
12188	NSE_EQ	INOXGREEN	EQ	INOX GREEN ENERGY SER LTD
20607	NSE_EQ	INOXINDIA	EQ	INOX INDIA LIMITED
758853	NSE_EQ	SGFIN	EQ	SG FINSERVE LIMITED
7852	NSE_EQ	INOXWIND	EQ	INOX WIND LIMITED
14657	NSE_EQ	INSECTICID	EQ	INSECTICIDES (I) LTD
13730	NSE_EQ	INSPIRISYS	EQ	INSPIRISYS SOLUTIONS LTD
5926	NSE_EQ	INTELLECT	EQ	INTELLECT DESIGN ARENA
24909	NSE_EQ	INTERARCH	EQ	INTERARCH BLDNG SOLTN LTD
758595	NSE_EQ	INTERNET	EQ	MIRAEAMC - INTERNET
24870	NSE_EQ	INVENTURE	EQ	INVENTURE GRO & SEC LTD
9348	NSE_EQ	IOB	EQ	INDIAN OVERSEAS BANK
1624	NSE_EQ	IOC	EQ	INDIAN OIL CORP LTD
20413	NSE_EQ	IOLCP	EQ	IOL CHEM AND PHARMA LTD
1630	NSE_EQ	IONEXCHANG	EQ	ION EXCHANGE (INDIA) LTD
1633	NSE_EQ	IPCALAB	EQ	IPCA LABORATORIES LTD
15313	NSE_EQ	IRB	EQ	IRB INFRA DEV LTD.
4986	NSE_EQ	IRCON	EQ	IRCON INTERNATIONAL LTD
13611	NSE_EQ	IRCTC	EQ	INDIAN RAIL TOUR CORP LTD
20261	NSE_EQ	IREDA	EQ	INDIAN RENEWABLE ENERGY
2029	NSE_EQ	IRFC	EQ	INDIAN RAILWAY FIN CORP L
2331	NSE_EQ	JAYNECOIND	EQ	JAYASWAL NECO INDUSTR LTD
1720	NSE_EQ	JAYSREETEA	EQ	JAYSHREE TEA & INDUSTRIES
6489	NSE_EQ	IRIS	EQ	IRIS BUSINESS SERV LTD
19597	NSE_EQ	IRMENERGY	EQ	IRM ENERGY LIMITED
18479	NSE_EQ	ISFT	EQ	INTRASOFT TECH. LTD
3329	NSE_EQ	ISGEC	EQ	ISGEC HEAVY ENG LTD
29251	NSE_EQ	ITCHOTELS	EQ	ITC HOTELS LIMITED
19299	NSE_EQ	ITDC	EQ	INDIA TOUR. DEV. CO. LTD.
19633	NSE_EQ	ITETF	EQ	MIRAEAMC - ITETF
1675	NSE_EQ	ITI	EQ	ITI LTD
22365	NSE_EQ	ITIETF	EQ	ICICIPRAMC - ICICITECH
759041	NSE_EQ	IVALUE	EQ	IVALUE INFOSOLUTIONS LTD
6711	NSE_EQ	IVC	EQ	IL&FS INVESTMENT MANAGERS
18292	NSE_EQ	IVZINGOLD	EQ	INVESCO INDIA GOLD ETF
24217	NSE_EQ	IVZINNIFTY	EQ	INVESCO INDIA NIFTY ETF
13211	NSE_EQ	JAGRAN	EQ	JAGRAN PRAKASHAN LIMITED
11256	NSE_EQ	JAIBALAJI	EQ	JAI BALAJI INDUSTRIES LTD
11640	NSE_EQ	BOHRAIND	EQ	BOHRA INDUSTRIES LIMITED
11452	NSE_EQ	CCL	EQ	CCL PRODUCTS (I) LTD
11971	NSE_EQ	GOLDIAM	EQ	GOLDIAM INTERNATIONAL LTD
19679	NSE_EQ	GOLDIETF	EQ	ICICI PRUDENTIAL GOLD ETF
16921	NSE_EQ	20MICRONS	EQ	20 MICRONS LTD
4	NSE_EQ	21STCENMGM	EQ	21ST CENTURY MGMT SERVICE
16249	NSE_EQ	INFIBEAM	EQ	INFIBEAM AVENUES LIMITED
1681	NSE_EQ	IVP	EQ	IVP LTD
13875	NSE_EQ	JINDRILL	EQ	JINDAL DRILLING IND. LTD
756782	NSE_EQ	KRISHIVAL	EQ	KRISHIVAL FOODS LIMITED
760213	NSE_EQ	LGEINDIA	EQ	LG ELECTRONICS INDIA LTD
758150	NSE_EQ	MBEL	EQ	M AND B ENGINEERING LTD
759302	NSE_EQ	NIFTYCASE	EQ	ZERODHAAMC - NIFTYCASE
13300	NSE_EQ	NITCO	EQ	NITCO LIMITED
10346	NSE_EQ	DGCONTENT	EQ	DIGICONTENT LIMITED
20322	NSE_EQ	FEDFINA	EQ	FEDBANK FINANCIAL SER L
25157	NSE_EQ	RVTH	EQ	REVATHI EQUIPMENT INDIA L
21501	NSE_EQ	SIS	EQ	SIS LIMITED
11935	NSE_EQ	SPLIL	EQ	SPL INDUSTRIES LIMITED
21770	NSE_EQ	ICICIGI	EQ	ICICI LOMBARD GIC LIMITED
18931	NSE_EQ	SUNDARAM	EQ	SUNDARAM MULTI PAP LTD
12018	NSE_EQ	SUZLON	EQ	SUZLON ENERGY LIMITED
13081	NSE_EQ	TRIVENI	EQ	TRIVENI ENGG. & INDS. LTD
7791	NSE_EQ	UNIINFO	EQ	UNIINFO TELECOM SERVI LTD
759205	NSE_EQ	JKIPL	EQ	JINKUSHAL INDUSTRIES LTD
25403	NSE_EQ	WCIL	EQ	WESTERN CARRIERS (IND) L
26013	NSE_EQ	NIFTYNXT50	EQ	NIFTYNXT50
26081	NSE_EQ	NIFTYGS48YR	EQ	NIFTY GS 4 8Yr
26082	NSE_EQ	NIFGS1115YR	EQ	NIFTY GS 11 15Yr
26083	NSE_EQ	NIFGS15YRPLS	EQ	NIFTY GS 15YrPlus
26084	NSE_EQ	NIFGSCOMPS	EQ	NIFTY GS Compsite
26104	NSE_EQ	NIFTYTR2X	EQ	NIFTY50 TR 2x Leverage
13061	NSE_EQ	360ONE	EQ	360 ONE WAM LIMITED
6232	NSE_EQ	3IINFOLTD	EQ	3I INFOTECH LIMITED
474	NSE_EQ	3MINDIA	EQ	3M INDIA LIMITED
2595	NSE_EQ	3PLAND	EQ	3P LAND HOLDINGS LIMITED
445	NSE_EQ	5PAISA	EQ	5PAISA CAPITAL LIMITED
11868	NSE_EQ	63MOONS	EQ	63 MOONS TECHNOLOGIES LTD
23729	NSE_EQ	AADHARHFC	EQ	AADHAR HOUSING FINANCE L
235	NSE_EQ	AAKASH	EQ	AAKASH EXPLORATION SER L
1030	NSE_EQ	AARON	EQ	AARON INDUSTRIES LIMITED
17145	NSE_EQ	AARTECH	EQ	AARTECH SOLONICS LIMITED
26014	NSE_EQ	NIFTYMID50	EQ	NIFTY MIDCAP 50
21614	NSE_EQ	ABCAPITAL	EQ	ADITYA BIRLA CAPITAL LTD.
759130	NSE_EQ	ABCOTS	EQ	A B COTSPIN INDIA LIMITED
24308	NSE_EQ	ABDL	EQ	ALLIED BLEND N DISTILS L
30108	NSE_EQ	ABFRL	EQ	ADITYA BIRLA FASHION & RT
24404	NSE_EQ	ABGSEC	EQ	BIRLASLAMC - ABGSEC
27020	NSE_EQ	ABINFRA	EQ	A B INFRABUILD LIMITED
756843	NSE_EQ	ABLBL	EQ	ADITYA BIRLA LIFES BRAN L
6018	NSE_EQ	ABSLAMC	EQ	ADIT BIRL SUN LIF AMC LTD
13987	NSE_EQ	ABSLBANETF	EQ	BIRLASLAMC - ABSLBANETF
14518	NSE_EQ	ABSLLIQUID	EQ	BIRLASLAMC - ABSLLIQUID
7339	NSE_EQ	ABSLNN50ET	EQ	BIRLASLAMC - ABSLNN50ET
22	NSE_EQ	ACC	EQ	ACC LIMITED
7053	NSE_EQ	ACCELYA	EQ	ACCELYA SOLN INDIA LTD
13587	NSE_EQ	ACE	EQ	ACTION CONST EQUIP LTD
11779	NSE_EQ	ACEINTEG	EQ	ACE INTEGRATED SOLU. LTD.
12024	NSE_EQ	ACI	EQ	ARCHEAN CHEMICAL IND LTD
13688	NSE_EQ	ACLGATI	EQ	ALLCARGO GATI LIMITED
27061	NSE_EQ	ACMESOLAR	EQ	ACME SOLAR HOLDINGS LTD
5578	NSE_EQ	ACUTAAS	EQ	ACUTAAS CHEMICALS LIMITED
10217	NSE_EQ	ADANIENSOL	EQ	ADANI ENERGY SOLUTION LTD
3563	NSE_EQ	ADANIGREEN	EQ	ADANI GREEN ENERGY LTD
17388	NSE_EQ	ADANIPOWER	EQ	ADANI POWER LTD
19761	NSE_EQ	ADFFOODS	EQ	ADF FOODS LIMITED
